alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,extra_pts,task_id,iter
20.420863217759532,0.54295964968731,7.344845206695684,9.28940349743767,8.3,1,42,4
19.143613583482505,0.6915894246923416,5.871126068620555,9.526889307371292,8.3,1,42,5
19.31194678725226,0.7341659793896044,7.131315989752931,10.124718479360972,8.5,1,43,1
19.80771204153298,0.6252014847402673,6.846006288977739,9.457900664288127,8.5,1,43,2
21.058092665872415,0.41431271265804487,10.00187055666169,8.549678427754131,8.5,1,43,3
19.73173395111352,0.6068527656373097,6.016566560533549,9.236274398861072,8.5,1,43,4
19.633831400445263,0.5194265049766882,7.126751111434007,8.510510388746631,8.5,1,43,5
17.406278969496153,0.914567099682684,2.551544941665844,10.828388278222258,8.7,1,44,1
19.724060172863005,0.604517864496437,8.280638319935273,9.179060640194482,8.7,1,44,2
17.840045851464243,0.8654694282159112,3.2167270676883546,10.625733681882402,8.7,1,44,3
18.098242376221293,0.9158017717268088,3.6427999682891334,11.210683067616026,8.7,1,44,4
19.78680508387271,0.5661841205314176,6.807135261819246,9.2956829931944,8.7,1,44,5
18.077475237603977,0.9291103671064788,1.2169141432007018,11.83793729871086,8.9,1,45,1
18.096099325711236,0.8837383786253419,4.343126335805877,10.864876457998,8.9,1,45,2
18.0474059271412,0.933616684157749,3.7259733643778232,11.436656684423554,8.9,1,45,3
20.82854479055304,0.5196474459755533,7.879509648369856,9.256348866896872,8.9,1,45,4
18.80829722168207,0.6816713586063492,3.297082934818634,9.704492451037636,8.9,1,45,5
16.723745846691916,1.120173247397819,1.3995318141132975,12.818978150231128,9.1,1,46,1
19.19216427592981,0.7855444773084309,5.696026756344696,10.661616169779135,9.1,1,46,2
20.081169652956397,0.46444117982338967,8.458036298777003,8.378368125950209,9.1,1,46,3
16.522829039688073,0.9718396547498664,0.3112758403261051,11.704514368336188,9.1,1,46,4
17.291600661361162,0.7875015013320373,0.6387195863882944,11.450946994087492,9.1,1,46,5
18.43500784292449,0.8243062849549708,4.5872769903827715,10.56761110324991,9.3,1,47,1
16.672350538054403,1.0501125224924062,1.663722109387982,11.755286332880384,9.3,1,47,2
20.351251853604325,0.656058579294853,7.027419305132937,10.076882508773313,9.3,1,47,3
16.13618395081871,0.8844738139457373,0.5199090875026597,10.282782637947763,9.3,1,47,4
16.40249171393268,1.236741779386129,2.010732805523643,14.362990829173071,9.3,1,47,5
19.7248133844872,0.6444869205387088,7.535707306858955,9.543828203333248,9.5,1,48,1
20.16691238266916,0.41808586594463454,11.857169924544154,7.91652399509767,9.5,1,48,2
16.745859667475393,1.037988699314503,0.5543186826015172,12.160432210522991,9.5,1,48,3
17.20515057121776,0.9273365522500446,1.5309514058096907,11.0624993319886,9.5,1,48,4
16.362827440749165,0.9061659219118096,0.6711140298199795,11.402238148987882,9.5,1,48,5
16.36944707601615,1.0065426419665355,2.8819851694226557,10.880439930609604,9.7,1,49,1
19.16355732735457,0.6934391832278458,6.410410089537873,9.596771983819671,9.7,1,49,2
17.047377260183563,0.9452757255533928,6.787441584001768,10.049121253694596,9.7,1,49,3
19.18426260849672,0.6219265863387138,2.408206090903913,9.782289066902006,9.7,1,49,4
21.010030165944897,0.4357053276774463,9.74634792482741,8.920336222639552,9.7,1,49,5
17.76479363541902,0.9113758809254184,1.0535926421299384,11.542792907802896,9.9,1,50,1
15.862793199697396,1.0096986312530447,4.076970503443999,9.999140897196115,9.9,1,50,2
19.69457720790035,0.5378110876578718,8.207202902481523,8.78826331787272,9.9,1,50,3
19.539641945879907,0.5929687941081937,9.1290761861170715,8.744207014971709,9.9,1,50,4
19.391723053126093,0.8053921892897007,5.247089777244544,11.12482851458612,9.9,1,50,5
0.4685280842188436,0.29976236986370325,0.13801224117030503,0.4920361003276764,0.1,2,51,1
0.4913809730147853,0.26879595398504924,0.16398861518277016,0.507343774951593,0.1,2,51,2
0.48756412509486624,0.29977259807996304,0.15490611020869607,0.5104299874595957,0.1,2,51,3
0.5331046078958194,0.22959957663685343,0.17872782751243188,0.5385458140764589,0.1,2,51,4
0.43617536606012536,0.2740820026938383,0.12678836529988724,0.5387321719066893,0.1,2,51,5
0.7384054255406275,0.3980016263111413,0.17260021895999286,1.3783920498414826,0.30000000000000004,2,52,1
0.6859657119895123,0.47991208510830863,0.18104951578574027,1.534700189354829,0.30000000000000004,2,52,2
0.6805113372544718,0.5146539379821556,0.2844493724513124,1.4383048104360456,0.30000000000000004,2,52,3
0.6450821303610632,0.5038694799127772,0.19451312838260493,1.54574319370972,0.30000000000000004,2,52,4
0.8073151851726346,0.2035501769192709,0.22851285809796656,0.9581108870334848,0.30000000000000004,2,52,5
0.7288684581959501,0.23741164200284431,0.31035385009203753,0.5420303235265392,0.5,2,53,1
0.7226625317416264,0.2960885432924877,1.0349458402234648,0.5031845129364368,0.5,2,53,2
0.7679340383759975,0.34775467313382435,1.287753102276443,0.7673574756927822,0.5,2,53,3
0.7305609364531799,0.2916034429112958,0.871797193248813,0.18208153661167573,0.5,2,53,4
0.756266910728026,0.4023177598747325,1.2319796835751673,0.2937254718463171,0.5,2,53,5
1.2759809568786948,0.47983169917096313,0.753704204703698,1.456022358821334,0.7000000000000001,2,54,1
1.0040915017812473,0.702381302100718,0.5896186401502121,2.556331020791555,0.7000000000000001,2,54,2
0.9161785489814464,0.5739882095812436,0.4498225686031577,1.9294355388970097,0.7000000000000001,2,54,3
1.2485912762929556,0.4979522380108464,0.7450702126457892,1.5409460912459887,0.7000000000000001,2,54,4
1.376306741855417,0.6165000332356764,0.6635164077268607,2.421659202715027,0.7000000000000001,2,54,5
1.4928677045335323,0.7668248559860069,1.4950505020510771,1.9485103514943576,0.9,2,55,1
1.481374133423868,0.8485321178382553,1.8481540322294037,1.8699579073461408,0.9,2,55,2
1.645262858060397,0.694043262887417,1.1482184381383669,2.2178598152549167,0.9,2,55,3
1.7309319417928528,0.6910465474804776,1.2447330679818485,2.258296074766275,0.9,2,55,4
1.7377996022466566,0.7662671045165425,1.3718522589371345,2.4989332499296864,0.9,2,55,5
2.478273565231452,2.6340111233060575,3.484593828950597,5.140139246068559,1.1,2,56,1
1.839513026512762,1.009265218620893,2.1824142092577343,2.634720267739772,1.1,2,56,2
2.7057878726891653,1.0956937041792405,1.983064487703356,5.817797988407361,1.1,2,56,3
1.1157031295843978,0.5991105263596336,1.366475137286615,0.9644008277417984,1.1,2,56,4
2.923984264394206,3.8255688176845495,4.773278363027761,6.667985999451055,1.1,2,56,5
1.9074831140385489,1.979337037129146,2.6821845118522067,3.3433582249841165,1.3000000000000005,2,57,1
3.938563212973303,1.3643508306867391,2.5423002780123847,6.187458290979054,1.3000000000000005,2,57,2
