alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,peak_rmse,duration_rmse,sd,l0,task_id,iter
3.071240315854285,1.4990092771811236,1.4011390231575258,2.201119762835586,3.7206432190295455,2.939595700735599,3.7,4,169,5
3.0990389931033464,1.4720210839643129,1.4084076424000649,2.0326433294055364,3.8268892570360817,2.976464379993852,3.9,4,170,1
3.1487829933770284,1.4398465485115362,1.3513319513525932,2.142466293342203,3.760353965675609,2.843083844900379,3.9,4,170,2
2.9508260462115676,1.475842201028141,1.3893066284074702,2.0942258334200536,3.6137695578879514,2.8870236465708974,3.9,4,170,3
2.738599769325906,1.6350920860608835,1.4962400834615175,2.2371114212465493,3.1694340754602597,2.59976994933151,3.9,4,170,4
3.404731985120767,1.5294747502833457,1.4330604407565652,2.2770787017330463,3.813846799239215,3.0868953863111535,3.9,4,170,5
2.982413322835926,1.6537021770388842,1.5260341481803843,2.294627762108065,3.4603481167647057,2.853087095551413,4.1,4,171,1
2.808931037988244,1.6423382688183783,1.5124503366934925,2.204656387194717,3.206565281017175,2.6074241674176286,4.1,4,171,2
3.14970876848444,1.610521922351904,1.5095781984760428,2.225345955642006,3.7616571848849216,2.9922526112705112,4.1,4,171,3
3.202969662263093,1.603598673627479,1.4821704285499682,2.2979411615419973,3.5742460237934406,2.891697030533754,4.1,4,171,4
3.1556202744042463,1.752767916151711,1.6532426482192737,2.2831219341734794,3.4392971077778967,3.0725456956886292,4.1,4,171,5
3.268365123353083,1.7948053563273645,1.701659144979874,2.28678970275924,3.727393399693155,3.238962570757544,4.3,4,172,1
3.0297726891848553,1.5270458977123094,1.4259407007889395,2.1862966113228985,3.68593748879737,2.7815154797067048,4.3,4,172,2
2.858540025162114,1.497323109362633,1.3922629270757545,2.170774738576378,3.554155589935412,2.7052751318533987,4.3,4,172,3
3.056869448941014,1.6605494804471643,1.53863186232207,2.316135644885059,3.548006873685898,2.9407795628975193,4.3,4,172,4
2.8267863744379147,1.6297062055679212,1.4957821688441415,2.2443887020301996,3.498673542994823,2.5913193493414988,4.3,4,172,5
2.8625926863042106,1.662985763575488,1.5463465565382744,2.203934535907021,3.5382523288684733,2.6944962020513508,4.5,4,173,1
3.252409560903491,1.760441915888391,1.6482353919865036,2.344590229004604,3.877644140245359,3.0750944834967577,4.5,4,173,2
