est_alpha,est_beta1,est_beta2,est_psi,true_alpha,true_beta1,true_beta2,true_psi,alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
-9.290167438160548,16.626997892535094,-18.214405490363717,1.5674447153399662,3,2,-4,5,12.83905075646386,15.183382828622062,14.787296645181048,3.438610446321625,6.5,4,83,3
-9.803240216272322,15.434858480167478,-17.15279225207719,1.7590270592381951,3,2,-4,5,13.45653289600902,14.01345709214046,13.743773278576889,3.249131923916771,6.5,4,83,4
-24.90058004291763,34.73804012392076,-36.44518499921044,1.2149362874912724,3,2,-4,5,28.105935334922993,32.96044721828383,32.6698915743044,3.785240328599405,6.5,4,83,5
-31.075165327110984,38.28846318968756,-40.05189324138808,1.266653533700646,3,2,-4,5,34.26877707700017,36.479548816682986,36.244753759178586,3.7334545685935656,6.7,4,84,1
-21.57095525285991,29.876442555796864,-31.65940637549252,1.310558712614586,3,2,-4,5,24.75867411157473,28.06782440417224,27.852691947444495,3.689673506042592,6.7,4,84,2
-14.868258954348056,23.728112507141095,-25.383843854806383,1.3416879465344167,3,2,-4,5,18.22520641431243,22.11351175058803,21.776107074849534,3.659279887882603,6.7,4,84,3
-16.61524440517987,24.299058810901258,-25.88148878271384,1.3649831916927058,3,2,-4,5,19.95876211106974,22.649432618120855,22.239398736169147,3.635779554330971,6.7,4,84,4
-24.473000435251212,34.70220898661284,-36.4894656706228,1.2100579311304696,3,2,-4,5,27.655026767861745,32.90041731592649,32.68937585811112,3.790098105800107,6.7,4,84,5
-23.12998819810528,33.80799701284515,-35.606457420548296,1.2089309596253357,3,2,-4,5,26.357334765837727,32.059958604685896,31.86052190723615,3.7912985174560982,6.9,4,85,1
-30.235581334899,39.37163049150272,-41.13396782447946,1.2119280118164766,3,2,-4,5,33.430775273651456,37.57450476487765,37.33847609617821,3.788183078536021,6.9,4,85,2
-20.22889936629804,30.909313013505457,-32.5794295871736,1.2092543251559178,3,2,-4,5,23.46943794495772,29.18021789861037,28.853886006324736,3.791048421740077,6.9,4,85,3
-35.55569249472151,41.382574526123655,-43.17345332459449,1.2831596063835935,3,2,-4,5,38.670260836402015,39.492324036935706,39.284011202799,3.7168928488453647,6.9,4,85,4
-34.44694244334189,43.98480784949783,-45.720186551697246,1.180801155448418,3,2,-4,5,37.581331932720246,42.12733625279801,41.86404251881364,3.819256121682742,6.9,4,85,5
-28.91549446499693,41.26496386199043,-42.985353752292426,1.1221125721618992,3,2,-4,5,32.07765013436663,39.45111440770367,39.17335020229344,3.877975312651704,7.1,4,86,1
-21.00311664378965,29.22443071173833,-30.942168840109648,1.3033850595094958,3,2,-4,5,24.315875388028708,27.54379845725032,27.265707503018135,3.697012712236874,7.1,4,86,2
-34.059815169159045,38.02782062046436,-39.86532063138405,1.3606819173259428,3,2,-4,5,37.16147727053052,36.12040565484642,35.95852643175971,3.639374236695792,7.1,4,86,3
-31.171440326132963,44.59004053512331,-46.33408659235767,1.0913845124924495,3,2,-4,5,34.30972340300749,42.750431808523174,42.49573198519223,3.908674858448101,7.1,4,86,4
-37.775129278178845,48.9839664358962,-50.70381320430494,1.1250799326821601,3,2,-4,5,40.90633978697597,47.125821363813245,46.84697195569336,3.8749580523739273,7.1,4,86,5
-28.03582843283559,37.79388031319075,-39.48513570579482,1.1945846245748202,3,2,-4,5,31.277302405714035,36.051549278917946,35.7458404160709,3.805566467694862,7.3,4,87,1
