alpha_rmse,beta1_rmse,beta2_rmse,psi_rmse,sd,l0,task_id,iter
0.00762845168509375,0.04030953288480174,0.07771731447897741,0.1003901080481102,5.5,1,28,1
0.02043274401860166,0.03983924667129812,0.0725410935048164,0.09964181717729252,5.5,1,28,2
8.239951409925078e-5,0.04821831651710077,0.0875503261728098,0.09256593088418648,5.5,1,28,3
0.03220658248643028,0.026540006549317,0.06125551859620265,0.05605002625542257,5.5,1,28,4
0.01946993431048045,0.05079534899241953,0.07659730254507906,0.12302672318751622,5.5,1,28,5
0.04703786598006608,0.03418883690904399,0.04349734756256186,0.13642300827118622,5.7,1,29,1
0.01351157743119728,0.03930352302788319,0.09937836108752485,0.0941353792300026,5.7,1,29,2
0.0197427559996362,0.05697415508366788,0.09465503683977416,0.1224773521202955,5.7,1,29,3
0.0364151787078117,0.04065719398783511,0.04287555672906578,0.10107952321424028,5.7,1,29,4
0.00663564023437772,0.06610104475009365,0.08684479428574596,0.09404285988245374,5.7,1,29,5
0.03615651906010718,0.04050785421871276,0.08077883104012404,0.08891302552593866,5.9,1,30,1
0.00775933649659927,0.02841970298086939,0.0772323054436981,0.09060884266731514,5.9,1,30,2
0.02103977230507149,0.03971788479831184,0.07321656757112596,0.09818517459619336,5.9,1,30,3
0.0129291284331872,0.03609387047277937,0.06750986994313991,0.09393187861606168,5.9,1,30,4
0.01434550418744441,0.03396229603008056,0.0728464839887574,0.11873156731840756,5.9,1,30,5
0.00488876896731217,0.03761850855650786,0.07323833780811703,0.0947502337964108,6.1,1,31,1
0.02839514803454702,0.05527491019092347,0.06304663682743163,0.11748705246859262,6.1,1,31,2
0.04490354083616491,0.03587247381160714,0.02753983671397929,0.09978986599476725,6.1,1,31,3
6.26220382486057e-4,0.0460141710532192,0.08504618975684625,0.10766472888688604,6.1,1,31,4
0.02680960191838411,0.04239023224654871,0.0715185900318861,0.11504124130624144,6.1,1,31,5
0.01232880613114954,0.03402513334716875,0.07935458642352945,0.11383695748038496,6.3,1,32,1
0.01333499776720914,0.0299372036999735,0.0799870627824976,0.09096944928216116,6.3,1,32,2
0.00818260152987462,0.03802884328072723,0.08910005994095356,0.10260655526491316,6.3,1,32,3
0.01907335599233928,0.03398256070927352,0.07741520124233157,0.1288252344932639,6.3,1,32,4
0.01872159194724985,0.03492552960605805,0.09301071410249374,0.11204894679807366,6.3,1,32,5
0.04320968986241631,0.02725427659061922,0.03347223340305502,0.09112761499449176,6.5,1,33,1
0.02026248884733239,0.04125827771859054,0.0703684262707628,0.1160552894414862,6.5,1,33,2
0.01625520539006799,0.03161429374059112,0.08655493487334463,0.09644866045460668,6.5,1,33,3
0.03785802209838587,0.04930927876224363,0.06291684376612625,0.10845498707041608,6.5,1,33,4
0.0096123243887254,0.05918492285878265,0.08459477201375241,0.12527331522676588,6.5,1,33,5
0.03130451519717942,0.03825566718726696,0.03988990602182941,0.09340886919373606,6.7,1,34,1
0.00542323645820232,0.042623201720197,0.08572711080597467,0.10820989194207256,6.7,1,34,2
0.0076427665146495,0.03808852182689647,0.07416177295676711,0.10148700522039172,6.7,1,34,3
0.01092041388131452,0.03415467904473573,0.06855287916050663,0.08773633603960894,6.7,1,34,4
0.02334043481854,0.0311347918128829,0.0539409254016068,0.10531062057603216,6.7,1,34,5
0.00858569527948236,0.03353305288953764,0.07107669738013929,0.0945273392544104,6.9,1,35,1
0.00330437240038291,0.04487787479785832,0.07806548810451151,0.11005621170927056,6.9,1,35,2
0.02651142486576601,0.01734357061329756,0.05187183155697242,0.09663702987746432,6.9,1,35,3
0.03003768141909086,0.0367309769218604,0.05937681352117033,0.11085944930817317,6.9,1,35,4
0.02418323919751197,0.05125305653731814,0.0735308236637397,0.09327149914614792,6.9,1,35,5
0.04858357994004609,0.06398726774108188,0.07470395275817933,0.15939023567860575,7.1,1,36,1
0.04289173046858471,0.06733583295783119,0.0658288698314449,0.13425886725612707,7.1,1,36,2
0.01172759760263819,0.03857207681930263,0.09268463152765848,0.09235059815413887,7.1,1,36,3
0.04284148569488108,0.05365595525623919,0.03726248460854927,0.1220236888013363,7.1,1,36,4
0.01163210228846777,0.0438295295673065,0.08789310184116024,0.11042413496695327,7.1,1,36,5
0.05154083689956591,0.04659754972951273,0.04488157348228192,0.11518456927311164,7.3,1,37,1
0.00171414868426211,0.04000481834626433,0.08136760680697368,0.09012661054715512,7.3,1,37,2
0.02267107643287036,0.06133367733488329,0.07454360446831076,0.1289925263589954,7.3,1,37,3
0.00455093448042246,0.04974550156541488,0.06666658104152119,0.09978954019143842,7.3,1,37,4
0.09793366473303304,0.04842696798776344,0.1284527055701314,0.05671356927235164,7.3,1,37,5
0.01376422424678248,0.0399405300699681,0.06097994855551501,0.11258924560625112,7.5,1,38,1
0.05310955982672938,0.04756881322305627,0.03905418950648392,0.08877899953714129,7.5,1,38,2
0.00479754537511771,0.03626691718218572,0.08321189755705559,0.09097807415983504,7.5,1,38,3
0.02264180747700853,0.03032956551285662,0.04533248270151294,0.10327852345177505,7.5,1,38,4
